TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Light Delight,Light Delight,2018-03-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181216/810a0d38-302dd2ba-6c4cfda2-a2dbedd3.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=ycVVqPjxPqk,https://namu.wiki/w/Light%20Delight
,二重の虹(ダブル レインボウ),쌍무지개 (더블 레인보우),2018-07-11,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181316/be61976d-4474510e-ccd5a655-83044a6d.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=sNaJuqFB-_g,https://namu.wiki/w/%E4%BA%8C%E9%87%8D%E3%81%AE%E8%99%B9%EF%BC%88%E3%83%80%E3%83%96%E3%83%AB%20%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%82%A6%EF%BC%89
,最高(さあ行こう)！,"최고(자, 가자)!",2018-07-11,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181316/be61976d-4474510e-ccd5a655-83044a6d.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=w5jX2B8W6l8,https://namu.wiki/w/%E6%9C%80%E9%AB%98%28%E3%81%95%E3%81%82%E8%A1%8C%E3%81%93%E3%81%86%29%EF%BC%81
,ガールズコード,걸즈 코드,2018-10-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181347/a5e2cb8a-ac6561d9-df95481e-1553989c.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=94djfHnNylA,https://namu.wiki/w/%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%E3%82%B3%E3%83%BC%E3%83%89
,切ないSandglass,애달픈 Sandglass,2018-10-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181347/a5e2cb8a-ac6561d9-df95481e-1553989c.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=W_W3LnZJApA,https://namu.wiki/w/%E5%88%87%E3%81%AA%E3%81%84Sandglass
,キズナミュージック♪,인연 뮤직♪,2018-12-12,https://lh3.googleusercontent.com/s_kssjG787juXDqFxzr4-tvMgLTRiktAAxbEaY425ZQrZmrDjwiz1lE8e6zJ4h_207W3rdORQJXZnj29iQ,Poppin'Party,오리지널,https://www.youtube.com/watch?v=rvKC_BDWo0o,https://namu.wiki/w/%E3%82%AD%E3%82%BA%E3%83%8A%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E2%99%AA
,キズナミュージック♪,인연 뮤직♪,2018-12-12,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181410/741604f0-75e08494-9f5b01ee-3d17dd4d.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=rvKC_BDWo0o,https://namu.wiki/w/%E3%82%AD%E3%82%BA%E3%83%8A%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF%E2%99%AA
,Home Street,Home Street,2018-12-12,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181410/741604f0-75e08494-9f5b01ee-3d17dd4d.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=_n8qGOBD0J8,https://namu.wiki/w/Home%20Street
,私の心はチョココロネ,내 마음은 초코 소라빵,2019-01-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181426/75bb2b0c-a047668b-535abeec-d5598409.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Fr249gzXd_g,https://namu.wiki/w/%E7%A7%81%E3%81%AE%E5%BF%83%E3%81%AF%E3%83%81%E3%83%A7%E3%82%B3%E3%82%B3%E3%83%AD%E3%83%8D
,Jumpin',Jumpin',2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181431/2f177de0-157a47fc-9e9b9f03-d6d7652b.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=SIF5yp2lNqA,https://namu.wiki/w/Jumpin%27
,What's the POPIPA!?,What's the POPIPA!?,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181431/2f177de0-157a47fc-9e9b9f03-d6d7652b.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=pX8lWO_Jwv4,https://namu.wiki/w/What%27s%20the%20POPIPA%21%3F
,Dreamers Go!,Dreamers Go!,2019-05-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181507/24b3eb8f-e2d3c4d4-e4b776da-0e098f38.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=VigNV3bsE_k,https://namu.wiki/w/Dreamers%20Go%21
,Returns,Returns,2019-05-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181507/24b3eb8f-e2d3c4d4-e4b776da-0e098f38.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=zWKV5yudE18,https://namu.wiki/w/Returns
,NO GIRL NO CRY,노 걸 노 크라이 (Poppin'Party Ver.),2019-07-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181538/035b8cb9-ad767f39-72005033-93f69768.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=uBLg7gB5FiM,https://namu.wiki/w/NO%20GIRL%20NO%20CRY
,White Afternoon,White Afternoon,2019-12-09,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181701/ae22dab0-61e4431f-bf801d43-8ccefd7e.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=VcPBdnrdTU8,https://namu.wiki/w/White%20Afternoon
,アニバーサリー,기념일,2020-01-08,https://lh3.googleusercontent.com/4buBbj1_PfJddXPOvqTnS9Il7Hf3OE8X-PxqxEeFHDoAnSXph4rk0W322zK2jOye9dO-rkJqT-rBctSg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=0TYq4xK3G8g,https://namu.wiki/w/%E3%82%A2%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AA%E3%83%BC
,イニシャル,이니셜,2020-01-08,https://lh3.googleusercontent.com/4buBbj1_PfJddXPOvqTnS9Il7Hf3OE8X-PxqxEeFHDoAnSXph4rk0W322zK2jOye9dO-rkJqT-rBctSg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Yb9FzUPpk0Y,https://namu.wiki/w/%E3%82%A4%E3%83%8B%E3%82%B7%E3%83%A3%E3%83%AB
,夢を撃ち抜く瞬間に！,꿈을 꿰뚫는 순간에!,2020-01-08,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181622/36b646b0-2b6501b4-54afc5fa-69b385a3.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Y8-nQ9ehgZE,https://namu.wiki/w/%E5%A4%A2%E3%82%92%E6%92%83%E3%81%A1%E6%8A%9C%E3%81%8F%E7%9E%AC%E9%96%93%E3%81%AB%EF%BC%81
,SAKURA MEMORIES,SAKURA MEMORIES,2020-01-08,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181622/36b646b0-2b6501b4-54afc5fa-69b385a3.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=lQF_5FOrl7k,https://namu.wiki/w/SAKURA%20MEMORIES
,Breakthrough!,Breakthrough!,2020-06-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181716/4e1eb833-d6d2cc88-d95b7771-3c312944.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=jL9BEY5Lt7Q,https://namu.wiki/w/Breakthrough%21
,Hello! Wink!,Hello! Wink!,2020-06-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181716/4e1eb833-d6d2cc88-d95b7771-3c312944.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=BduVH7BZj2k,https://namu.wiki/w/Hello%21%20Wink%21
,Step×Step！,Step x Step!,2020-06-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181716/4e1eb833-d6d2cc88-d95b7771-3c312944.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=yJSDaYtRGto,https://namu.wiki/w/Step%C3%97Step%21
,キラキラスター！,반짝반짝 스타!,2020-06-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181716/4e1eb833-d6d2cc88-d95b7771-3c312944.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=idH2KGN0C4A,https://namu.wiki/w/%E3%82%AD%E3%83%A9%E3%82%AD%E3%83%A9%E3%82%B9%E3%82%BF%E3%83%BC%EF%BC%81
,ミライトレイン,미래 열차,2020-06-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181716/4e1eb833-d6d2cc88-d95b7771-3c312944.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=amlyxSdWmTg,https://namu.wiki/w/%E3%83%9F%E3%83%A9%E3%82%A4%E3%83%88%E3%83%AC%E3%82%A4%E3%83%B3
,Photograph,Photograph,2021-01-06,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181821/3f7bda57-d3a3c2bb-eec9ac86-864e0cbc.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=jLWs8qcXF7o,https://namu.wiki/w/Photograph
,開けたらDream!,열어보니 Dream!!,2021-01-06,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181821/3f7bda57-d3a3c2bb-eec9ac86-864e0cbc.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=E7Vac5VF7Qg,https://namu.wiki/w/%E9%96%8B%E3%81%91%E3%81%9F%E3%82%89Dream%21
,Live Beyond!!,Live Beyond!!,2021-08-18,https://lh3.googleusercontent.com/RuAJ9SaWXVqabcYvdhV9zFpa8Blv1aTTN3jqQZjDCNxDJZYs28W-TSlzYuC_Tao41z7e9UmnfZBPTy00,Poppin'Party,오리지널,https://www.youtube.com/watch?v=BQ417cl8-iE,https://namu.wiki/w/Live%20Beyond%21%21
